date,campaign_id,product_id,cost,impressions,clicks,platform,ad_type,ctr,conversion_rate
2024-10-01,C001,P001,50.00,5000,100,Google,Search,2.0%,3.0%
2024-10-01,C002,P002,40.00,4000,80,Facebook,Display,2.0%,2.5%
2024-10-02,C001,P001,55.00,5500,110,Google,Search,2.0%,3.1%
2024-10-02,C002,P002,42.00,4200,85,Instagram,Story,2.02%,2.4%
2024-10-03,C001,P001,45.00,4500,90,Google,Search,2.0%,2.9%
2024-10-03,C002,P002,60.00,6000,120,Facebook,Display,2.0%,2.6%
2024-10-04,C001,P001,70.00,7000,150,Google,Search,2.14%,3.2%
2024-10-04,C002,P002,50.00,5000,100,Instagram,Reel,2.0%,2.8%
2024-10-05,C001,P001,80.00,8000,180,Google,Search,2.25%,3.5%
2024-10-05,C002,P002,65.00,6500,130,Facebook,Display,2.0%,2.7%
2024-10-06,C001,P001,85.00,8500,190,Google,Search,2.24%,3.6%
2024-10-06,C002,P002,70.00,7000,140,Facebook,Display,2.0%,2.9%
2024-10-07,C001,P001,88.00,8800,195,Google,Search,2.24%,3.7%
2024-10-07,C002,P002,72.00,7200,145,Instagram,Story,2.0%,2.5%
2024-10-08,C001,P001,90.00,9000,200,Google,Search,2.22%,3.8%
2024-10-08,C002,P002,75.00,7500,150,Facebook,Display,2.0%,3.0%
2024-10-09,C001,P001,92.00,9200,210,Google,Search,2.28%,3.9%
2024-10-09,C002,P002,78.00,7800,155,Instagram,Reel,2.0%,3.1%
2024-10-10,C001,P001,95.00,9500,220,Google,Search,2.32%,4.0%
2024-10-10,C002,P002,80.00,8000,160,Facebook,Display,2.0%,3.2%
2024-10-11,C001,P001,98.00,9800,225,Google,Search,2.30%,4.10%
2024-10-11,C002,P002,82.00,8200,165,Facebook,Display,2.00%,3.30%
2024-10-12,C001,P001,99.50,9900,230,Google,Search,2.31%,4.20%
2024-10-12,C002,P002,83.20,8300,170,Instagram,Story,2.00%,3.40%
2024-10-13,C001,P001,101.00,10000,235,Google,Search,2.32%,4.30%
2024-10-13,C002,P002,84.40,8400,175,Facebook,Display,2.00%,3.50%
2024-10-14,C001,P001,102.50,10100,240,Google,Search,2.33%,4.40%
2024-10-14,C002,P002,85.60,8500,180,Instagram,Reel,2.00%,3.60%
2024-10-15,C001,P001,104.00,10200,245,Google,Search,2.34%,4.50%
2024-10-15,C002,P002,86.80,8600,185,Facebook,Display,2.00%,3.70%
2024-10-16,C001,P001,105.50,10300,250,Google,Search,2.35%,4.60%
2024-10-16,C002,P002,88.00,8700,190,Instagram,Story,2.00%,3.80%
2024-10-17,C001,P001,107.00,10400,255,Google,Search,2.36%,4.70%
2024-10-17,C002,P002,89.20,8800,195,Facebook,Display,2.00%,3.90%
2024-10-18,C001,P001,108.50,10500,260,Google,Search,2.37%,4.80%
2024-10-18,C002,P002,90.40,8900,200,Instagram,Reel,2.00%,4.00%
2024-10-19,C001,P001,110.00,10600,265,Google,Search,2.38%,4.90%
2024-10-19,C002,P002,91.60,9000,205,Facebook,Display,2.00%,4.10%
2024-10-20,C001,P001,111.50,10700,270,Google,Search,2.39%,5.00%
2024-10-20,C002,P002,92.80,9100,210,Instagram,Story,2.00%,4.20%
2024-10-21,C001,P001,113.00,10800,275,Google,Search,2.40%,5.10%
2024-10-21,C002,P002,94.00,9200,215,Facebook,Display,2.00%,4.30%
2024-10-22,C001,P001,114.50,10900,280,Google,Search,2.41%,5.20%
2024-10-22,C002,P002,95.20,9300,220,Instagram,Reel,2.00%,4.40%
2024-10-23,C001,P001,116.00,11000,285,Google,Search,2.42%,5.30%
2024-10-23,C002,P002,96.40,9400,225,Facebook,Display,2.00%,4.50%
2024-10-24,C001,P001,117.50,11100,290,Google,Search,2.43%,5.40%
2024-10-24,C002,P002,97.60,9500,230,Instagram,Story,2.00%,4.60%
2024-10-25,C001,P001,119.00,11200,295,Google,Search,2.44%,5.50%
2024-10-25,C002,P002,98.80,9600,235,Facebook,Display,2.00%,4.70%
2024-10-26,C001,P001,120.50,11300,300,Google,Search,2.45%,5.60%
2024-10-26,C002,P002,100.00,9700,240,Instagram,Reel,2.00%,4.80%
2024-10-27,C001,P001,122.00,11400,305,Google,Search,2.46%,5.70%
2024-10-27,C002,P002,101.20,9800,245,Facebook,Display,2.00%,4.90%
2024-10-28,C001,P001,123.50,11500,310,Google,Search,2.47%,5.80%
2024-10-28,C002,P002,102.40,9900,250,Instagram,Story,2.00%,5.00%
2024-10-29,C001,P001,125.00,11600,315,Google,Search,2.48%,5.90%
2024-10-29,C002,P002,103.60,10000,255,Facebook,Display,2.00%,5.10%
2024-10-30,C001,P001,126.50,11700,320,Google,Search,2.49%,6.00%
2024-10-30,C002,P002,104.80,10100,260,Instagram,Reel,2.00%,5.20%
2024-10-31,C001,P001,128.00,11800,325,Google,Search,2.50%,6.10%
2024-10-31,C002,P002,106.00,10200,265,Facebook,Display,2.00%,5.30%
